symbol,name
RELIANCE,Reliance Industries
TCS,Tata Consultancy Services
HDFCBANK,HDFC Bank
ICICIBANK,ICICI Bank
INFY,Infosys
HINDUNILVR,Hindustan Unilever
ITC,ITC
SBIN,State Bank of India
BHARTIARTL,Bharti Airtel
BAJFINANCE,Bajaj Finance
LICI,Life Insurance Corporation of India
LT,Larsen & Toubro
KOTAKBANK,Kotak Mahindra Bank
HCLTECH,HCL Technologies
AXISBANK,Axis Bank
MARUTI,Maruti Suzuki India
ASIANPAINT,Asian Paints
SUNPHARMA,Sun Pharmaceutical Industries
TITAN,Titan Company
ULTRACEMCO,UltraTech Cement
ADANIENT,Adani Enterprises
ADANIPORTS,Adani Ports and SEZ
ONGC,Oil & Natural Gas Corporation
NTPC,NTPC
POWERGRID,Power Grid Corporation of India
NESTLEIND,Nestle India
WIPRO,Wipro
M&M,Mahindra & Mahindra
TATAMOTORS,Tata Motors
JSWSTEEL,JSW Steel
TATASTEEL,Tata Steel
COALINDIA,Coal India
BAJAJFINSV,Bajaj Finserv
HDFCLIFE,HDFC Life Insurance
SBILIFE,SBI Life Insurance
GRASIM,Grasim Industries
INDUSINDBK,IndusInd Bank
DRREDDY,Dr Reddy's Laboratories
CIPLA,Cipla
DIVISLAB,Divi's Laboratories
APOLLOHOSP,Apollo Hospitals Enterprise
EICHERMOT,Eicher Motors
HEROMOTOCO,Hero MotoCorp
BRITANNIA,Britannia Industries
TECHM,Tech Mahindra
BPCL,Bharat Petroleum Corporation
IOC,Indian Oil Corporation
HINDALCO,Hindalco Industries
TATACONSUM,Tata Consumer Products
SHRIRAMFIN,Shriram Finance
BAJAJ-AUTO,Bajaj Auto
ADANIGREEN,Adani Green Energy
ADANIPOWER,Adani Power
ADANIENSOL,Adani Energy Solutions
DMART,Avenue Supermarts
PIDILITIND,Pidilite Industries
GODREJCP,Godrej Consumer Products
DABUR,Dabur India
MARICO,Marico
HAVELLS,Havells India
SIEMENS,Siemens
ABB,ABB India
BOSCHLTD,Bosch
AMBUJACEM,Ambuja Cements
SHREECEM,Shree Cement
ACC,ACC
VEDL,Vedanta
JINDALSTEL,Jindal Steel & Power
SAIL,Steel Authority of India
NMDC,NMDC
HINDZINC,Hindustan Zinc
GAIL,GAIL India
PETRONET,Petronet LNG
IGL,Indraprastha Gas
MGL,Mahanagar Gas
TORNTPHARM,Torrent Pharmaceuticals
LUPIN,Lupin
AUROPHARMA,Aurobindo Pharma
ZYDUSLIFE,Zydus Lifesciences
ALKEM,Alkem Laboratories
BIOCON,Biocon
GLENMARK,Glenmark Pharmaceuticals
IPCALAB,Ipca Laboratories
LAURUSLABS,Laurus Labs
MANKIND,Mankind Pharma
SYNGENE,Syngene International
DIXON,Dixon Technologies
PERSISTENT,Persistent Systems
LTIM,LTIMindtree
MPHASIS,Mphasis
COFORGE,Coforge
OFSS,Oracle Financial Services Software
TATAELXSI,Tata Elxsi
KPITTECH,KPIT Technologies
ETERNAL,Eternal (formerly Zomato)
PAYTM,One 97 Communications (Paytm)
NYKAA,FSN E-Commerce Ventures (Nykaa)
POLICYBZR,PB Fintech
IRCTC,Indian Railway Catering & Tourism
INDIGO,InterGlobe Aviation
TRENT,Trent
PAGEIND,Page Industries
VBL,Varun Beverages
UBL,United Breweries
COLPAL,Colgate-Palmolive India
JUBLFOOD,Jubilant FoodWorks
DEVYANI,Devyani International
BATAINDIA,Bata India
RELAXO,Relaxo Footwears
MOTHERSON,Samvardhana Motherson International
BALKRISIND,Balkrishna Industries
MRF,MRF
APOLLOTYRE,Apollo Tyres
CEATLTD,CEAT
TVSMOTOR,TVS Motor Company
ASHOKLEY,Ashok Leyland
BHARATFORG,Bharat Forge
ESCORTS,Escorts Kubota
CUMMINSIND,Cummins India
THERMAX,Thermax
BEL,Bharat Electronics
HAL,Hindustan Aeronautics
BDL,Bharat Dynamics
MAZDOCK,Mazagon Dock Shipbuilders
COCHINSHIP,Cochin Shipyard
GRSE,Garden Reach Shipbuilders
RVNL,Rail Vikas Nigam
IRFC,Indian Railway Finance Corporation
RECLTD,REC
PFC,Power Finance Corporation
IREDA,Indian Renewable Energy Development Agency
NHPC,NHPC
SJVN,SJVN
TATAPOWER,Tata Power
TORNTPOWER,Torrent Power
JSWENERGY,JSW Energy
CANBK,Canara Bank
PNB,Punjab National Bank
BANKBARODA,Bank of Baroda
UNIONBANK,Union Bank of India
INDIANB,Indian Bank
IDFCFIRSTB,IDFC First Bank
FEDERALBK,Federal Bank
BANDHANBNK,Bandhan Bank
AUBANK,AU Small Finance Bank
YESBANK,Yes Bank
RBLBANK,RBL Bank
CHOLAFIN,Cholamandalam Investment & Finance
MUTHOOTFIN,Muthoot Finance
MANAPPURAM,Manappuram Finance
LICHSGFIN,LIC Housing Finance
IIFL,IIFL Finance
ANGELONE,Angel One
MOTILALOFS,Motilal Oswal Financial Services
HDFCAMC,HDFC Asset Management
CDSL,Central Depository Services
BSE,BSE
MCX,Multi Commodity Exchange of India
JIOFIN,Jio Financial Services
ABCAPITAL,Aditya Birla Capital
POLYCAB,Polycab India
KEI,KEI Industries
APARINDS,Apar Industries
VOLTAS,Voltas
BLUESTARCO,Blue Star
CROMPTON,Crompton Greaves Consumer Electricals
WHIRLPOOL,Whirlpool of India
SUPREMEIND,Supreme Industries
ASTRAL,Astral
FINPIPE,Finolex Industries
DEEPAKNTR,Deepak Nitrite
SRF,SRF
AARTIIND,Aarti Industries
NAVINFLUOR,Navin Fluorine International
ATUL,Atul
VINATIORGA,Vinati Organics
TATACHEM,Tata Chemicals
UPL,UPL
PIIND,PI Industries
COROMANDEL,Coromandel International
CHAMBLFERT,Chambal Fertilisers & Chemicals
GNFC,Gujarat Narmada Valley Fertilizers
GSFC,Gujarat State Fertilizers & Chemicals
DLF,DLF
GODREJPROP,Godrej Properties
OBEROIRLTY,Oberoi Realty
PRESTIGE,Prestige Estates Projects
BRIGADE,Brigade Enterprises
PHOENIXLTD,Phoenix Mills
LODHA,Macrotech Developers (Lodha)
SOBHA,Sobha
NBCC,NBCC India
CONCOR,Container Corporation of India
GICRE,General Insurance Corporation of India
NIACL,New India Assurance
STARHEALTH,Star Health & Allied Insurance
MAXHEALTH,Max Healthcare Institute
FORTIS,Fortis Healthcare
NH,Narayana Hrudayalaya
LALPATHLAB,Dr Lal PathLabs
METROPOLIS,Metropolis Healthcare
NAUKRI,Info Edge India
INDHOTEL,Indian Hotels Company
CHALET,Chalet Hotels
EIHOTEL,EIH
HONAUT,Honeywell Automation India
3MINDIA,3M India
PGHH,Procter & Gamble Hygiene & Health Care
CASTROLIND,Castrol India
TIMKEN,Timken India
SCHAEFFLER,Schaeffler India
SKFINDIA,SKF India
GRINDWELL,Grindwell Norton
CARBORUNIV,Carborundum Universal
KAJARIACER,Kajaria Ceramics
CERA,Cera Sanitaryware
JKCEMENT,JK Cement
RAMCOCEM,Ramco Cements
DALBHARAT,Dalmia Bharat
BIRLACORPN,Birla Corporation
